Name,Base Experience,Height,Weight,Image URL
bulbasaur,64,7,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
ivysaur,142,10,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
venusaur,263,20,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
charmander,62,6,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
charmeleon,142,11,190,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
charizard,267,17,905,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
squirtle,63,5,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
wartortle,142,10,225,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
blastoise,265,16,855,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
caterpie,39,3,29,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
metapod,72,7,99,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
butterfree,198,11,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
weedle,39,3,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
kakuna,72,6,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
beedrill,178,10,295,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
pidgey,50,3,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
pidgeotto,122,11,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
pidgeot,216,15,395,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
rattata,51,3,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
raticate,145,7,185,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
spearow,52,3,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
fearow,155,12,380,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
ekans,58,20,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
arbok,157,35,650,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
pikachu,112,4,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
raichu,243,8,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
sandshrew,60,6,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
sandslash,158,10,295,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
nidoran-f,55,4,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
nidorina,128,8,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
nidoqueen,253,13,600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
nidoran-m,55,5,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
nidorino,128,9,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
nidoking,253,14,620,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
clefairy,113,6,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
clefable,242,13,400,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
vulpix,60,6,99,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
ninetales,177,11,199,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
jigglypuff,95,5,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
wigglytuff,218,10,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
zubat,49,8,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
golbat,159,16,550,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
oddish,64,5,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
gloom,138,8,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
vileplume,245,12,186,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
paras,57,3,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
parasect,142,10,295,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
venonat,61,10,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
venomoth,158,15,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
diglett,53,2,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
dugtrio,149,7,333,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
meowth,58,4,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
persian,154,10,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
psyduck,64,8,196,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
